Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/26/2021,AQS,60010009,1,0.5,ppm,6,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
3/27/2021,AQS,60010009,1,0.5,ppm,6,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
3/28/2021,AQS,60010009,1,0.5,ppm,6,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
3/29/2021,AQS,60010009,1,0.5,ppm,6,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
3/30/2021,AQS,60010009,1,0.6,ppm,7,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
3/31/2021,AQS,60010009,1,0.5,ppm,6,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/1/2021,AQS,60010009,1,0.5,ppm,6,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/2/2021,AQS,60010009,1,0.5,ppm,6,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/3/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/4/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/5/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/6/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/7/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/8/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/9/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/10/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/11/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/12/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/13/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/14/2021,AQS,60010009,1,0.4,ppm,5,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/15/2021,AQS,60010009,1,0.5,ppm,6,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/16/2021,AQS,60010009,1,0.4,ppm,5,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/17/2021,AQS,60010009,1,0.4,ppm,5,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/18/2021,AQS,60010009,1,0.5,ppm,6,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/19/2021,AQS,60010009,1,0.4,ppm,5,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/20/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/21/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/22/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/23/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/24/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/25/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/26/2021,AQS,60010009,1,0.4,ppm,5,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/27/2021,AQS,60010009,1,0.4,ppm,5,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/28/2021,AQS,60010009,1,0.4,ppm,5,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/29/2021,AQS,60010009,1,0.5,ppm,6,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
4/30/2021,AQS,60010009,1,0.3,ppm,3,Oakland,14,58,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
5/1/2021,AQS,60010009,1,0.2,ppm,2,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
5/2/2021,AQS,60010009,1,0.2,ppm,2,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
5/3/2021,AQS,60010009,1,0.4,ppm,5,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
5/4/2021,AQS,60010009,1,0.5,ppm,6,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
5/5/2021,AQS,60010009,1,0.4,ppm,5,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
5/6/2021,AQS,60010009,1,0.2,ppm,2,Oakland,14,58,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
5/7/2021,AQS,60010009,1,0.3,ppm,3,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
5/8/2021,AQS,60010009,1,0.4,ppm,5,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
5/9/2021,AQS,60010009,1,0.4,ppm,5,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
5/10/2021,AQS,60010009,1,0.4,ppm,5,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
5/11/2021,AQS,60010009,1,0.4,ppm,5,Oakland,24,100,42101,Carbon monoxide,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.743065,-122.169935
