County,Date,Temperature,Precipitation,Wind,Gust Wind
Mendocino,2020-02,50.56,0.0,4.47,1.18
Mendocino,2020-03,49.76,0.03,4.33,0.91
Mendocino,2020-04,56.92,0.04,5.18,0.92
Mendocino,2020-05,60.31,0.04,4.79,0.5
Mendocino,2020-06,65.36,0.0,6.2,1.71
Mendocino,2020-07,63.76,0.0,5.48,0.27
Mendocino,2020-08,67.16,0.0,4.9,0.27
Mendocino,2020-09,65.76,0.0,3.64,0.52
Mendocino,2020-10,62.02,0.0,3.66,0.76
Mendocino,2020-11,48.16,0.05,3.31,0.48
Mendocino,2020-12,45.1,0.1,3.06,0.4
Mendocino,2021-01,47.32,0.12,4.2,2.38
Mendocino,2021-02,49.08,0.06,5.07,1.43
Mendocino,2021-03,49.3,0.09,5.21,1.34
Mendocino,2021-04,52.09,0.0,4.46,0.39
Mendocino,2021-05,60.89,0.0,7.11,2.15
Mendocino,2021-06,63.9,0.0,6.34,1.28
Mendocino,2021-07,61.59,0.0,5.86,0.16
Mendocino,2021-08,62.86,0.0,4.89,0.09
Mendocino,2021-09,61.97,0.01,4.37,0.15
Mendocino,2021-10,57.2,0.34,4.37,1.18
Mendocino,2021-11,50.8,0.1,2.18,0.09
Mendocino,2021-12,45.55,0.23,3.72,0.7
Merced,2010-01,47.87,0.0,4.38,0.7
Merced,2010-02,51.41,0.0,3.5,0.15
Merced,2010-03,55.25,0.0,5.28,1.05
Merced,2010-04,57.37,0.0,6.23,1.49
Merced,2010-05,64.98,0.0,8.2,2.65
Merced,2010-06,77.68,0.0,9.1,2.45
Merced,2010-07,83.24,0.0,7.2,0.14
Merced,2010-08,79.71,0.0,6.51,0.15
Merced,2010-09,76.39,0.0,5.07,0.3
Merced,2010-10,67.23,0.0,4.69,0.4
Merced,2010-11,52.75,0.0,3.61,0.17
Merced,2010-12,50.32,0.0,3.93,0.23
Merced,2011-01,45.52,0.0,2.52,0.0
Merced,2011-02,48.84,0.0,4.29,0.66
Merced,2011-03,54.98,0.0,6.32,1.36
Merced,2011-04,60.54,0.0,7.3,2.09
Merced,2011-05,65.12,0.0,7.9,2.0
Merced,2011-06,74.75,0.0,7.6,0.99
Merced,2011-07,81.77,0.0,7.32,0.26
Merced,2011-08,82.23,0.0,6.04,0.11
Merced,2011-09,80.07,0.0,5.22,0.16
Merced,2011-10,67.05,0.0,3.61,0.2
Merced,2011-11,52.13,0.0,3.26,0.21
Merced,2011-12,43.99,0.0,2.11,0.55
Merced,2012-01,48.28,0.0,2.9,0.24
Merced,2012-02,52.0,0.0,4.2,0.52
Merced,2012-03,55.85,0.0,5.76,1.38
Merced,2012-04,62.78,0.0,6.45,1.66
Merced,2012-05,72.29,0.0,8.07,1.89
Merced,2012-06,78.04,0.0,9.03,3.0
